Company,Person (Full Name),Race (White/POC),Gender (Female/Male),Position,Sources (web links),Timestamp (date),,,,,,,,,,,,,,,,,,,,
Lowe's,Greg Shultz,White,Male,"Senior VP, Distribution Operations",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Amaresh Siva,POC,Male,"Senior VP, Innovation, Data and Supply Chain Technology",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Fred L. Stokes,POC,Male,"Senior VP, Pro Sales & Services",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Michael A. Tummillo,White,Male,"Senior VP & General, Merchandising Manager, Building Products",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Margi Vagell,White,Female,"Senior VP & General Merchandising Manager, Home Décor",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Quonta D. Vance,POC,Male,"Division President, North Division",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Jeff R. Vining,White,Male,"Senior VP, Deputy General Counsel & Chief Compliance Officer",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Jennifer E. Wilson,White,Female,"Senior VP, Brand Marketing",https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Raul Alvarez,White,Male,Board Of Director,https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,David H. Batchelder,White,Male,Board Of Director,https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Angela F. Braly,White,Female,Board Of Director,https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Sandra B. Cochran,White,Female,Board Of Director,https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Laurie Z. Douglas,White,Female,Board Of Director,https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Richard W. Dreiling,White,Male,Board Of Director,https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Brian C. Rogers,White,Male,Board Of Director,https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Bertram L. Scott,POC,Male,Board Of Director,https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
Lowe's,Lisa W. Wardell,POC,Female,Board Of Director,https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/2020,,,,,,,,,,,,,,,,,,,,
Lowe's,Eric C. Wiseman,White,Male,Board Of Director,https://corporate.lowes.com/who-we-are/lowes-leadership/executive-leadership,8/24/20,,,,,,,,,,,,,,,,,,,,
AT&T,John Stankey,White,Male,CEO,https://investors.att.com/corporate-governance/leadership,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Ed Gillespie,White,Male,Senior Executive VP- External and Legislative Affairs,https://investors.att.com/corporate-governance/leadership,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,David S. Huntley,POC,Male,Senior Executive VP & Chief Compliance Officer,https://investors.att.com/corporate-governance/leadership,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Jason Kilar,White,Male,"CEO, WarnerMedia",https://investors.att.com/corporate-governance/leadership,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Lori Lee,White,Female,CEO- AT&T Latin America and Global Marketing Officer,https://investors.att.com/corporate-governance/leadership,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,David R. McAtee II,White,Male,Senior Executive VP and General Counsel,https://investors.att.com/corporate-governance/leadership,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Jeff McElfresh,White,Male,"CEO, AT&T Communications",https://investors.att.com/corporate-governance/leadership,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Angela Santone,White,Male,Senior Executive VP- HR,https://investors.att.com/corporate-governance/leadership,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,John J. Stephens,White,Male,Senior Executive VP and CFO,https://investors.att.com/corporate-governance/leadership,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Randall L. Stephenson,White,Male,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Matthew K. Rose,White,Male,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,"Samuel A. Di Piazza, Jr.",White,Male,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
AT&T,Richard W. Fisher,White,Male,Board of Director,https://investors.att.com/corporate-governance/board-of-directors,8/25/20,,,,,,,,,,,,,,,,,,,,
